listing_id,amenity_name,amenity_category
617499038697675576,Essentials,Bedroom and laundry
617499038697675576,Hangers,Bedroom and laundry
617499038697675576,Bed linens,Bedroom and laundry
617499038697675576,Room-darkening shades,Bedroom and laundry
617499038697675576,Iron,Bedroom and laundry
617499038697675576,Mosquito net,Bedroom and laundry
617499038697675576,Clothing storage: closet and dresser,Bedroom and laundry
617499038697675576,"32 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix",Entertainment
617499038697675576,Books and reading material,Entertainment
617499038697675576,Board games,Family
617499038697675576,Window AC unit,Heating and cooling
617499038697675576,Central heating,Heating and cooling
617499038697675576,Lock on bedroom door,Privacy and safety
617499038697675576,Exterior security cameras on property,Privacy and safety
617499038697675576,Smoke alarm,Privacy and safety
617499038697675576,Carbon monoxide alarm,Privacy and safety
617499038697675576,Fire extinguisher,Privacy and safety
617499038697675576,First aid kit,Privacy and safety
617499038697675576,Wifi,Internet and office
617499038697675576,Dedicated workspace,Internet and office
617499038697675576,Kitchen,Kitchen and dining
617499038697675576,Refrigerator,Kitchen and dining
617499038697675576,Microwave,Kitchen and dining
617499038697675576,Cooking basics,Kitchen and dining
617499038697675576,Dishes and silverware,Kitchen and dining
617499038697675576,Mini fridge,Kitchen and dining
617499038697675576,Freezer,Kitchen and dining
617499038697675576,Stove,Kitchen and dining
617499038697675576,Oven,Kitchen and dining
617499038697675576,Hot water kettle,Kitchen and dining
617499038697675576,Coffee maker: drip coffee maker,Kitchen and dining
617499038697675576,Wine glasses,Kitchen and dining
617499038697675576,Toaster,Kitchen and dining
617499038697675576,Baking sheet,Kitchen and dining
617499038697675576,Blender,Kitchen and dining
617499038697675576,Dining table,Kitchen and dining
617499038697675576,Coffee,Kitchen and dining
617499038697675576,Laundromat nearby,Location features
617499038697675576,Shared patio or balcony,Outdoor
617499038697675576,Outdoor furniture,Outdoor
617499038697675576,Outdoor dining area,Outdoor
617499038697675576,Free street parking,Parking and facilities
617499038697675576,Paid street parking off premises,Parking and facilities
617499038697675576,Luggage dropoff allowed,Services
617499038697675576,Long term stays allowed,Services
617499038697675576,Self check-in,Services
617499038697675576,Lockbox,Services
617499038697675576,Cleaning available during stay,Services
617499038697675576,Washer,Not included
617499038697675576,Dryer,Not included
7915305,Bathtub,Bathroom
7915305,Hair dryer,Bathroom
7915305,Cleaning products,Bathroom
7915305,Hot water,Bathroom
7915305,Washer,Bedroom and laundry
7915305,Dryer,Bedroom and laundry
7915305,Essentials,Bedroom and laundry
7915305,Hangers,Bedroom and laundry
7915305,Bed linens,Bedroom and laundry
7915305,TV,Entertainment
7915305,Indoor fireplace,Heating and cooling
7915305,Heating,Heating and cooling
7915305,Smoke alarm,Home safety
7915305,First aid kit,Home safety
7915305,Wifi,Internet and office
7915305,Kitchen,Kitchen and dining
7915305,Refrigerator,Kitchen and dining
7915305,Microwave,Kitchen and dining
7915305,Stove,Kitchen and dining
7915305,Oven,Kitchen and dining
7915305,Patio or balcony,Outdoor
7915305,Free street parking,Parking and facilities
